technology,analysis_group,condition,radius_um,total_cells,n_cells_observed,n_cells_zero,pct_cells_observed,pct_zero_of_observed,mean_intersections,sem_intersections,majority_observed,majority_zero_observed
DREADD,Group I (Activation),DREADD_CNO,10.0,12,6,0,0.5,0.0,2.1666666666666665,0.16666666666666666,True,False
DREADD,Group I (Activation),DREADD_CNO,15.0,12,12,0,1.0,0.0,3.25,0.4286165199944132,True,False
DREADD,Group I (Activation),DREADD_CNO,20.0,12,12,0,1.0,0.0,5.083333333333333,0.37856053783784804,True,False
DREADD,Group I (Activation),DREADD_CNO,25.0,12,12,0,1.0,0.0,6.0,0.4438126822992973,True,False
DREADD,Group I (Activation),DREADD_CNO,30.0,12,12,0,1.0,0.0,6.333333333333333,0.4494665749754947,True,False
DREADD,Group I (Activation),DREADD_CNO,35.0,12,12,0,1.0,0.0,6.5,0.5,True,False
DREADD,Group I (Activation),DREADD_CNO,40.0,12,12,0,1.0,0.0,6.5,0.4522670168666455,True,False
DREADD,Group I (Activation),DREADD_CNO,45.0,12,12,0,1.0,0.0,6.666666666666667,0.49746833816309105,True,False
DREADD,Group I (Activation),DREADD_CNO,50.0,12,12,0,1.0,0.0,7.166666666666667,0.5618332187193684,True,False
DREADD,Group I (Activation),DREADD_CNO,55.0,12,12,0,1.0,0.0,7.666666666666667,0.6779350703393059,True,False
DREADD,Group I (Activation),DREADD_CNO,60.0,12,12,0,1.0,0.0,7.833333333333333,0.6834996102206037,True,False
DREADD,Group I (Activation),DREADD_CNO,65.0,12,12,0,1.0,0.0,7.833333333333333,0.7159792333764037,True,False
DREADD,Group I (Activation),DREADD_CNO,70.0,12,12,0,1.0,0.0,7.833333333333333,0.6609604276117345,True,False
DREADD,Group I (Activation),DREADD_CNO,75.0,12,12,0,1.0,0.0,8.0,0.6628679652796169,True,False
DREADD,Group I (Activation),DREADD_CNO,80.0,12,12,0,1.0,0.0,8.25,0.6291528696058958,True,False
DREADD,Group I (Activation),DREADD_CNO,85.0,12,12,0,1.0,0.0,8.0,0.5075192189225523,True,False
DREADD,Group I (Activation),DREADD_CNO,90.0,12,12,0,1.0,0.0,7.916666666666667,0.4166666666666667,True,False
DREADD,Group I (Activation),DREADD_CNO,95.0,12,12,0,1.0,0.0,8.083333333333334,0.4515685345704917,True,False
DREADD,Group I (Activation),DREADD_CNO,100.0,12,12,0,1.0,0.0,8.0,0.408248290463863,True,False
DREADD,Group I (Activation),DREADD_CNO,105.0,12,12,0,1.0,0.0,8.166666666666666,0.47407538930793985,True,False
DREADD,Group I (Activation),DREADD_CNO,110.0,12,12,0,1.0,0.0,7.833333333333333,0.5881833013267174,True,False
DREADD,Group I (Activation),DREADD_CNO,115.0,12,12,0,1.0,0.0,7.916666666666667,0.5429762723390704,True,False
DREADD,Group I (Activation),DREADD_CNO,120.0,12,12,0,1.0,0.0,8.25,0.6291528696058958,True,False
DREADD,Group I (Activation),DREADD_CNO,125.0,12,12,0,1.0,0.0,8.333333333333334,0.5945883900105632,True,False
DREADD,Group I (Activation),DREADD_CNO,130.0,12,12,0,1.0,0.0,8.25,0.7893706737687057,True,False
DREADD,Group I (Activation),DREADD_CNO,135.0,12,12,0,1.0,0.0,8.0,0.7587869106393281,True,False
DREADD,Group I (Activation),DREADD_CNO,140.0,12,12,0,1.0,0.0,7.75,0.7084447327730932,True,False
DREADD,Group I (Activation),DREADD_CNO,145.0,12,12,0,1.0,0.0,7.75,0.7797143999276566,True,False
DREADD,Group I (Activation),DREADD_CNO,150.0,12,12,0,1.0,0.0,7.583333333333333,0.7925632881080007,True,False
DREADD,Group I (Activation),DREADD_CNO,155.0,12,12,0,1.0,0.0,7.666666666666667,0.8557588634207841,True,False
DREADD,Group I (Activation),DREADD_CNO,160.0,12,12,0,1.0,0.0,7.166666666666667,0.8947094782693713,True,False
DREADD,Group I (Activation),DREADD_CNO,165.0,12,12,0,1.0,0.0,7.416666666666667,1.1707180736969973,True,False
DREADD,Group I (Activation),DREADD_CNO,170.0,12,12,0,1.0,0.0,6.833333333333333,0.9679197729505721,True,False
DREADD,Group I (Activation),DREADD_CNO,175.0,12,12,0,1.0,0.0,6.416666666666667,0.9330491991748388,True,False
DREADD,Group I (Activation),DREADD_CNO,180.0,12,12,0,1.0,0.0,5.583333333333333,0.9248942063443218,True,False
DREADD,Group I (Activation),DREADD_CNO,185.0,12,11,0,0.9166666666666666,0.0,5.454545454545454,0.856670471955618,True,False
DREADD,Group I (Activation),DREADD_CNO,190.0,12,11,0,0.9166666666666666,0.0,5.2727272727272725,0.8537714095908289,True,False
DREADD,Group I (Activation),DREADD_CNO,195.0,12,11,0,0.9166666666666666,0.0,5.181818181818182,0.8925772879006237,True,False
DREADD,Group I (Activation),DREADD_CNO,200.0,12,11,0,0.9166666666666666,0.0,5.0,0.8633970960424556,True,False
DREADD,Group I (Activation),DREADD_CNO,205.0,12,11,0,0.9166666666666666,0.0,4.545454545454546,0.8776377008107032,True,False
DREADD,Group I (Activation),DREADD_CNO,210.0,12,11,0,0.9166666666666666,0.0,4.2727272727272725,0.8322030902796951,True,False
DREADD,Group I (Activation),DREADD_CNO,215.0,12,11,0,0.9166666666666666,0.0,3.909090909090909,0.7441229792611318,True,False
DREADD,Group I (Activation),DREADD_CNO,220.0,12,11,0,0.9166666666666666,0.0,3.727272727272727,0.8430562268632458,True,False
DREADD,Group I (Activation),DREADD_CNO,225.0,12,11,0,0.9166666666666666,0.0,3.5454545454545454,0.9181368125783707,True,False
DREADD,Group I (Activation),DREADD_CNO,230.0,12,10,0,0.8333333333333334,0.0,3.5,0.8333333333333334,True,False
DREADD,Group I (Activation),DREADD_CNO,235.0,12,10,0,0.8333333333333334,0.0,3.3,0.8306623862918076,True,False
DREADD,Group I (Activation),DREADD_CNO,240.0,12,9,0,0.75,0.0,3.7777777777777777,0.9395296958493202,True,False
DREADD,Group I (Activation),DREADD_CNO,245.0,12,9,0,0.75,0.0,2.3333333333333335,0.5270462766947299,True,False
DREADD,Group I (Activation),DREADD_CNO,250.0,12,8,0,0.6666666666666666,0.0,1.75,0.36596252735569995,True,False
DREADD,Group I (Activation),DREADD_CNO,255.0,12,8,0,0.6666666666666666,0.0,1.625,0.26305214040457564,True,False
DREADD,Group I (Activation),DREADD_CNO,260.0,12,8,0,0.6666666666666666,0.0,1.5,0.2672612419124244,True,False
DREADD,Group I (Activation),DREADD_CNO,265.0,12,8,0,0.6666666666666666,0.0,1.375,0.26305214040457564,True,False
DREADD,Group I (Activation),DREADD_CNO,270.0,12,6,0,0.5,0.0,1.1666666666666667,0.16666666666666669,True,False
DREADD,Group I (Activation),DREADD_CNO,275.0,12,4,0,0.3333333333333333,0.0,1.25,0.25,False,False
DREADD,Group I (Activation),DREADD_CNO,280.0,12,4,0,0.3333333333333333,0.0,1.0,0.0,False,False
DREADD,Group I (Activation),DREADD_CNO,285.0,12,3,0,0.25,0.0,1.0,0.0,False,False
DREADD,Group I (Activation),DREADD_CNO,290.0,12,2,0,0.16666666666666666,0.0,1.0,0.0,False,False
DREADD,Group I (Activation),DREADD_CNO,295.0,12,2,0,0.16666666666666666,0.0,1.0,0.0,False,False
DREADD,Group I (Activation),DREADD_CNO,300.0,12,1,0,0.08333333333333333,0.0,1.0,0.0,False,False
DREADD,Group II (Expression only),DREADD_Vehicle,10.0,12,3,0,0.25,0.0,1.3333333333333333,0.3333333333333333,False,False
DREADD,Group II (Expression only),DREADD_Vehicle,15.0,12,8,0,0.6666666666666666,0.0,3.25,0.7258000511750562,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,20.0,12,9,0,0.75,0.0,4.333333333333333,0.5773502691896257,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,25.0,12,9,0,0.75,0.0,5.222222222222222,0.493788578739755,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,30.0,12,9,0,0.75,0.0,5.777777777777778,0.5211573066470476,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,35.0,12,9,0,0.75,0.0,6.222222222222222,0.6186404847588913,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,40.0,12,9,0,0.75,0.0,6.333333333333333,0.6454972243679028,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,45.0,12,9,0,0.75,0.0,6.555555555555555,0.6478835438717001,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,50.0,12,9,0,0.75,0.0,6.666666666666667,0.6009252125773316,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,55.0,12,9,0,0.75,0.0,7.0,0.6236095644623235,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,60.0,12,9,0,0.75,0.0,6.777777777777778,0.6406979219261554,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,65.0,12,9,0,0.75,0.0,6.888888888888889,0.6549903401417554,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,70.0,12,9,0,0.75,0.0,6.777777777777778,0.6186404847588913,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,75.0,12,9,0,0.75,0.0,7.111111111111111,0.7535922203472522,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,80.0,12,9,0,0.75,0.0,7.444444444444445,0.8678055195451837,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,85.0,12,9,0,0.75,0.0,7.444444444444445,0.8678055195451837,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,90.0,12,9,0,0.75,0.0,7.777777777777778,0.829621362392671,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,95.0,12,9,0,0.75,0.0,8.333333333333334,0.8660254037844387,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,100.0,12,9,0,0.75,0.0,8.666666666666666,0.8975274678557505,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,105.0,12,9,0,0.75,0.0,8.555555555555555,0.8992452253465913,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,110.0,12,9,0,0.75,0.0,8.777777777777779,0.7597107961765189,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,115.0,12,9,0,0.75,0.0,8.555555555555555,0.7657804862272345,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,120.0,12,9,0,0.75,0.0,8.555555555555555,0.5299662230094142,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,125.0,12,9,0,0.75,0.0,8.11111111111111,0.4547418206595806,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,130.0,12,9,0,0.75,0.0,8.333333333333334,0.47140452079103173,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,135.0,12,9,0,0.75,0.0,7.888888888888889,0.5879447357921312,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,140.0,12,9,0,0.75,0.0,7.888888888888889,0.6758625033664688,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,145.0,12,9,0,0.75,0.0,8.666666666666666,0.7993052538854533,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,150.0,12,9,0,0.75,0.0,8.222222222222221,0.6406979219261554,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,155.0,12,9,0,0.75,0.0,8.11111111111111,0.5879447357921312,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,160.0,12,9,0,0.75,0.0,8.222222222222221,0.6186404847588913,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,165.0,12,9,0,0.75,0.0,8.333333333333334,0.5773502691896257,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,170.0,12,9,0,0.75,0.0,8.11111111111111,0.6111111111111112,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,175.0,12,9,0,0.75,0.0,7.888888888888889,0.6758625033664688,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,180.0,12,9,0,0.75,0.0,7.555555555555555,0.7474235581707617,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,185.0,12,9,0,0.75,0.0,7.222222222222222,0.6620208493229437,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,190.0,12,9,0,0.75,0.0,7.0,0.6871842709362768,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,195.0,12,9,0,0.75,0.0,6.555555555555555,0.7837075544258825,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,200.0,12,9,0,0.75,0.0,6.555555555555555,0.7837075544258825,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,205.0,12,9,0,0.75,0.0,6.0,0.8975274678557507,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,210.0,12,9,0,0.75,0.0,6.111111111111111,0.9638528651609707,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,215.0,12,9,0,0.75,0.0,5.555555555555555,0.9734119704408463,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,220.0,12,8,0,0.6666666666666666,0.0,6.625,1.5576711096102045,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,225.0,12,8,0,0.6666666666666666,0.0,4.375,0.9050947069624419,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,230.0,12,8,0,0.6666666666666666,0.0,4.125,0.811469126250126,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,235.0,12,8,0,0.6666666666666666,0.0,3.875,0.811469126250126,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,240.0,12,8,0,0.6666666666666666,0.0,4.75,1.0479571965086578,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,245.0,12,8,0,0.6666666666666666,0.0,4.125,0.8951755613924487,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,250.0,12,8,0,0.6666666666666666,0.0,3.875,0.8331845105205861,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,255.0,12,8,0,0.6666666666666666,0.0,3.25,0.75,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,260.0,12,7,0,0.5833333333333334,0.0,2.857142857142857,0.6700593942604899,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,265.0,12,7,0,0.5833333333333334,0.0,2.5714285714285716,0.5281207860194961,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,270.0,12,7,0,0.5833333333333334,0.0,2.142857142857143,0.5532833351724882,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,275.0,12,7,0,0.5833333333333334,0.0,1.8571428571428572,0.34006802040680234,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,280.0,12,7,0,0.5833333333333334,0.0,1.5714285714285714,0.20203050891044216,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,285.0,12,6,0,0.5,0.0,2.0,0.816496580927726,True,False
DREADD,Group II (Expression only),DREADD_Vehicle,290.0,12,5,0,0.4166666666666667,0.0,1.2,0.2,False,False
DREADD,Group II (Expression only),DREADD_Vehicle,295.0,12,5,0,0.4166666666666667,0.0,1.2,0.2,False,False
DREADD,Group II (Expression only),DREADD_Vehicle,300.0,12,3,0,0.25,0.0,1.0,0.0,False,False
DREADD,Group III (Effector only),None_CNO,5.0,12,11,8,0.9166666666666666,0.7272727272727273,0.36363636363636365,0.20327890704543544,True,True
DREADD,Group III (Effector only),None_CNO,10.0,12,11,3,0.9166666666666666,0.2727272727272727,4.2727272727272725,1.1527903624834444,True,False
DREADD,Group III (Effector only),None_CNO,15.0,12,11,0,0.9166666666666666,0.0,8.636363636363637,1.5912986536029865,True,False
DREADD,Group III (Effector only),None_CNO,20.0,12,11,0,0.9166666666666666,0.0,11.636363636363637,2.1920215960811036,True,False
DREADD,Group III (Effector only),None_CNO,25.0,12,11,0,0.9166666666666666,0.0,11.090909090909092,1.8362736251567418,True,False
DREADD,Group III (Effector only),None_CNO,30.0,12,11,0,0.9166666666666666,0.0,12.272727272727273,2.115273071092538,True,False
DREADD,Group III (Effector only),None_CNO,35.0,12,11,0,0.9166666666666666,0.0,13.636363636363637,2.615592153614471,True,False
DREADD,Group III (Effector only),None_CNO,40.0,12,11,0,0.9166666666666666,0.0,13.454545454545455,2.4619417183989936,True,False
DREADD,Group III (Effector only),None_CNO,45.0,12,11,0,0.9166666666666666,0.0,12.818181818181818,2.3386794324155042,True,False
DREADD,Group III (Effector only),None_CNO,50.0,12,11,0,0.9166666666666666,0.0,13.090909090909092,2.333372687586266,True,False
DREADD,Group III (Effector only),None_CNO,55.0,12,11,0,0.9166666666666666,0.0,13.0,2.3432688900143517,True,False
DREADD,Group III (Effector only),None_CNO,60.0,12,11,0,0.9166666666666666,0.0,13.363636363636363,2.1837112999026025,True,False
DREADD,Group III (Effector only),None_CNO,65.0,12,11,0,0.9166666666666666,0.0,14.0,2.453198283502949,True,False
DREADD,Group III (Effector only),None_CNO,70.0,12,11,0,0.9166666666666666,0.0,12.181818181818182,1.9060581972331456,True,False
DREADD,Group III (Effector only),None_CNO,75.0,12,11,0,0.9166666666666666,0.0,12.545454545454545,1.9276157499197923,True,False
DREADD,Group III (Effector only),None_CNO,80.0,12,11,0,0.9166666666666666,0.0,11.636363636363637,1.8304134022511134,True,False
DREADD,Group III (Effector only),None_CNO,85.0,12,10,0,0.8333333333333334,0.0,11.2,1.5114378731672844,True,False
DREADD,Group III (Effector only),None_CNO,90.0,12,10,0,0.8333333333333334,0.0,10.2,1.717879830230017,True,False
DREADD,Group III (Effector only),None_CNO,95.0,12,10,0,0.8333333333333334,0.0,9.9,1.6696639715157593,True,False
DREADD,Group III (Effector only),None_CNO,100.0,12,10,0,0.8333333333333334,0.0,9.4,1.6069294390925266,True,False
DREADD,Group III (Effector only),None_CNO,105.0,12,10,0,0.8333333333333334,0.0,8.9,1.32874209519965,True,False
DREADD,Group III (Effector only),None_CNO,110.0,12,10,0,0.8333333333333334,0.0,8.0,1.577621275493231,True,False
DREADD,Group III (Effector only),None_CNO,115.0,12,10,0,0.8333333333333334,0.0,7.7,1.6058919293927874,True,False
DREADD,Group III (Effector only),None_CNO,120.0,12,10,0,0.8333333333333334,0.0,7.1,1.4564034849968985,True,False
DREADD,Group III (Effector only),None_CNO,125.0,12,10,0,0.8333333333333334,0.0,6.4,1.2578641509408806,True,False
DREADD,Group III (Effector only),None_CNO,130.0,12,10,0,0.8333333333333334,0.0,7.4,1.2754084313139327,True,False
DREADD,Group III (Effector only),None_CNO,135.0,12,10,0,0.8333333333333334,0.0,5.9,1.0588253449512393,True,False
DREADD,Group III (Effector only),None_CNO,140.0,12,10,0,0.8333333333333334,0.0,5.9,1.242309676905615,True,False
DREADD,Group III (Effector only),None_CNO,145.0,12,10,0,0.8333333333333334,0.0,5.8,1.1135528725660044,True,False
DREADD,Group III (Effector only),None_CNO,150.0,12,10,0,0.8333333333333334,0.0,4.8,1.1135528725660044,True,False
DREADD,Group III (Effector only),None_CNO,155.0,12,8,0,0.6666666666666666,0.0,5.375,1.2238332636200313,True,False
DREADD,Group III (Effector only),None_CNO,160.0,12,8,0,0.6666666666666666,0.0,5.0,1.224744871391589,True,False
DREADD,Group III (Effector only),None_CNO,165.0,12,8,0,0.6666666666666666,0.0,4.0,0.9819805060619657,True,False
DREADD,Group III (Effector only),None_CNO,170.0,12,7,0,0.5833333333333334,0.0,3.857142857142857,1.0562415720389922,True,False
DREADD,Group III (Effector only),None_CNO,175.0,12,7,0,0.5833333333333334,0.0,3.142857142857143,1.1004019055515564,True,False
DREADD,Group III (Effector only),None_CNO,180.0,12,7,0,0.5833333333333334,0.0,3.0,1.0910894511799618,True,False
DREADD,Group III (Effector only),None_CNO,185.0,12,6,0,0.5,0.0,2.5,0.8062257748298549,True,False
DREADD,Group III (Effector only),None_CNO,190.0,12,6,0,0.5,0.0,2.3333333333333335,0.8027729719194863,True,False
DREADD,Group III (Effector only),None_CNO,195.0,12,6,0,0.5,0.0,2.3333333333333335,0.8027729719194863,True,False
DREADD,Group III (Effector only),None_CNO,200.0,12,5,0,0.4166666666666667,0.0,2.2,0.7348469228349535,False,False
DREADD,Group III (Effector only),None_CNO,205.0,12,5,0,0.4166666666666667,0.0,2.0,0.7745966692414834,False,False
DREADD,Group III (Effector only),None_CNO,210.0,12,5,0,0.4166666666666667,0.0,3.2,1.9595917942265424,False,False
DREADD,Group III (Effector only),None_CNO,215.0,12,5,0,0.4166666666666667,0.0,2.0,0.7745966692414834,False,False
DREADD,Group III (Effector only),None_CNO,220.0,12,5,0,0.4166666666666667,0.0,2.2,0.5830951894845301,False,False
DREADD,Group III (Effector only),None_CNO,225.0,12,5,0,0.4166666666666667,0.0,2.2,0.58309518948453,False,False
DREADD,Group III (Effector only),None_CNO,230.0,12,5,0,0.4166666666666667,0.0,1.6,0.6,False,False
DREADD,Group III (Effector only),None_CNO,235.0,12,5,0,0.4166666666666667,0.0,1.6,0.6,False,False
DREADD,Group III (Effector only),None_CNO,240.0,12,5,0,0.4166666666666667,0.0,1.6,0.6,False,False
DREADD,Group III (Effector only),None_CNO,245.0,12,5,0,0.4166666666666667,0.0,1.6,0.6,False,False
DREADD,Group III (Effector only),None_CNO,250.0,12,3,0,0.25,0.0,1.3333333333333333,0.3333333333333333,False,False
DREADD,Group III (Effector only),None_CNO,255.0,12,3,0,0.25,0.0,2.6666666666666665,1.2018504251546631,False,False
DREADD,Group III (Effector only),None_CNO,260.0,12,3,0,0.25,0.0,1.3333333333333333,0.3333333333333333,False,False
DREADD,Group III (Effector only),None_CNO,265.0,12,3,0,0.25,0.0,2.0,1.0,False,False
