analysis_group,condition,source_condition,replicate,sample_id,cell_id,experiment,n_radius_points,radius_min,radius_max,auc,actuator,stimulation,is_primary_condition
Group I (Activation),DREADD_CNO,DREADD/CNO,1,,DREADD/CNO__r1__sNA,DREADD_rep1,53,10.0,270.0,1907.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,2,,DREADD/CNO__r2__sNA,DREADD_rep2,46,10.0,235.0,1767.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,3,,DREADD/CNO__r3__sNA,DREADD_rep3,48,10.0,245.0,942.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,4,,DREADD/CNO__r4__sNA,DREADD_rep4,34,15.0,180.0,1290.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,5,,DREADD/CNO__r5__sNA,DREADD_rep5,55,10.0,280.0,1147.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,6,,DREADD/CNO__r6__sNA,DREADD_rep6,52,15.0,270.0,2135.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,7,,DREADD/CNO__r7__sNA,DREADD_rep7,51,15.0,265.0,1190.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,8,,DREADD/CNO__r8__sNA,DREADD_rep8,52,10.0,265.0,1795.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,9,,DREADD/CNO__r9__sNA,DREADD_rep9,56,10.0,285.0,1467.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,10,,DREADD/CNO__r10__sNA,DREADD_rep10,58,15.0,300.0,1372.5,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,11,,DREADD/CNO__r11__sNA,DREADD_rep11,43,15.0,225.0,1400.0,DREADD,Stimulated,True
Group I (Activation),DREADD_CNO,DREADD/CNO,12,,DREADD/CNO__r12__sNA,DREADD_rep12,57,15.0,295.0,1660.0,DREADD,Stimulated,True
Group II (Expression only),DREADD_Vehicle,DREADD,1,,DREADD__r1__sNA,DREADD_rep1,41,15.0,215.0,1487.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,2,,DREADD__r2__sNA,DREADD_rep2,59,10.0,300.0,2450.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,3,,DREADD__r3__sNA,DREADD_rep3,58,15.0,300.0,1680.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,4,,DREADD__r4__sNA,DREADD_rep4,57,15.0,295.0,1905.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,5,,DREADD__r5__sNA,DREADD_rep5,54,15.0,280.0,1442.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,6,,DREADD__r6__sNA,DREADD_rep6,54,20.0,285.0,1747.5,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,7,,DREADD__r7__sNA,DREADD_rep7,57,15.0,295.0,1155.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,8,,DREADD__r8__sNA,DREADD_rep8,50,10.0,255.0,1420.0,DREADD,Vehicle,True
Group II (Expression only),DREADD_Vehicle,DREADD,9,,DREADD__r9__sNA,DREADD_rep9,59,10.0,300.0,1845.0,DREADD,Vehicle,True
Group II (Expression only),EYFP_Control,CONTROL,1,371.1,CONTROL__r1__s371.1,371.1,67,10.0,340.0,1662.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,2,371.2,CONTROL__r2__s371.2,371.2,55,10.0,280.0,1440.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,3,371.3,CONTROL__r3__s371.3,371.3,62,15.0,320.0,3330.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,4,371.4,CONTROL__r4__s371.4,371.4,70,10.0,355.0,2645.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,5,371.5,CONTROL__r5__s371.5,371.5,85,10.0,430.0,1710.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,6,371.6,CONTROL__r6__s371.6,371.6,107,10.0,540.0,2940.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,7,371.7,CONTROL__r7__s371.7,371.7,81,10.0,410.0,2820.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,8,371.8,CONTROL__r8__s371.8,371.8,39,10.0,200.0,1397.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,9,371.9,CONTROL__r9__s371.9,371.9,61,10.0,310.0,2527.5,,,False
Group II (Expression only),EYFP_Control,CONTROL,10,371.1,CONTROL__r10__s371.1,371.1,46,10.0,235.0,1665.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,11,371.11,CONTROL__r11__s371.11,371.11,58,10.0,295.0,1085.0,,,False
Group II (Expression only),EYFP_Control,CONTROL,12,371.12,CONTROL__r12__s371.12,371.12,47,15.0,245.0,1812.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,1,,CONTROL/MEDIA__r1__sNA,CONTROL/MEDIA_rep1,51,10.0,260.0,1367.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,2,,CONTROL/MEDIA__r2__sNA,CONTROL/MEDIA_rep2,39,10.0,200.0,640.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,3,,CONTROL/MEDIA__r3__sNA,CONTROL/MEDIA_rep3,53,15.0,275.0,917.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,4,,CONTROL/MEDIA__r4__sNA,CONTROL/MEDIA_rep4,49,10.0,250.0,995.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,5,,CONTROL/MEDIA__r5__sNA,CONTROL/MEDIA_rep5,65,10.0,330.0,1680.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,6,,CONTROL/MEDIA__r6__sNA,CONTROL/MEDIA_rep6,45,10.0,230.0,907.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,7,,CONTROL/MEDIA__r7__sNA,CONTROL/MEDIA_rep7,50,15.0,260.0,1447.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,8,,CONTROL/MEDIA__r8__sNA,CONTROL/MEDIA_rep8,53,10.0,270.0,2022.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,9,,CONTROL/MEDIA__r9__sNA,CONTROL/MEDIA_rep9,53,10.0,270.0,950.0,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,10,,CONTROL/MEDIA__r10__sNA,CONTROL/MEDIA_rep10,59,15.0,305.0,2057.5,,,False
Group I (Activation),EYFP_Control_Media,CONTROL/MEDIA,11,,CONTROL/MEDIA__r11__sNA,CONTROL/MEDIA_rep11,61,10.0,310.0,1312.5,,,False
Group II (Expression only),LMO7_Vehicle,LMO7,1,353.1,LMO7__r1__s353.1,353.1,27,10.0,140.0,1527.5,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,2,353.4,LMO7__r2__s353.4,353.4,49,15.0,255.0,2160.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,3,353.5,LMO7__r3__s353.5,353.5,35,10.0,180.0,2045.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,4,353.6,LMO7__r4__s353.6,353.6,41,10.0,210.0,1655.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,5,353.7,LMO7__r5__s353.7,353.7,49,10.0,250.0,2987.5,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,6,353.8,LMO7__r6__s353.8,353.8,52,15.0,270.0,1315.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,7,353.1,LMO7__r7__s353.1,353.1,48,10.0,245.0,1610.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,8,353.11,LMO7__r8__s353.11,353.11,34,5.0,170.0,1695.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,9,353.12,LMO7__r9__s353.12,353.12,22,10.0,115.0,617.5,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,10,353.14,LMO7__r10__s353.14,353.14,38,10.0,195.0,2190.0,LMO7,Vehicle,True
Group II (Expression only),LMO7_Vehicle,LMO7,11,353.15,LMO7__r11__s353.15,353.15,25,10.0,130.0,1592.5,LMO7,Vehicle,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,1,,LMO7/hCTZ__r1__sNA,LMO7_rep1,31,10.0,160.0,1242.5,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,2,,LMO7/hCTZ__r2__sNA,LMO7_rep2,37,10.0,190.0,1567.5,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,3,,LMO7/hCTZ__r3__sNA,LMO7_rep3,18,10.0,95.0,632.5,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,4,,LMO7/hCTZ__r4__sNA,LMO7_rep4,50,10.0,255.0,1572.5,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,5,,LMO7/hCTZ__r5__sNA,LMO7_rep5,31,5.0,155.0,1412.5,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,6,,LMO7/hCTZ__r6__sNA,LMO7_rep6,26,10.0,135.0,1285.0,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,7,,LMO7/hCTZ__r7__sNA,LMO7_rep7,46,10.0,235.0,1340.0,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,8,,LMO7/hCTZ__r8__sNA,LMO7_rep8,38,10.0,195.0,1590.0,LMO7,Stimulated,True
Group I (Activation),LMO7_hCTZ,LMO7/hCTZ,9,,LMO7/hCTZ__r9__sNA,LMO7_rep9,50,10.0,255.0,1572.5,LMO7,Stimulated,True
Group III (Effector only),None_CNO,CNO,1,,CNO__r1__sNA,CNO_rep1,61,5.0,305.0,1210.0,,,False
Group III (Effector only),None_CNO,CNO,2,,CNO__r2__sNA,CNO_rep2,16,5.0,80.0,735.0,,,False
Group III (Effector only),None_CNO,CNO,3,,CNO__r3__sNA,CNO_rep3,39,5.0,195.0,2592.5,,,False
Group III (Effector only),None_CNO,CNO,4,,CNO__r4__sNA,CNO_rep4,30,5.0,150.0,1342.5,,,False
Group III (Effector only),None_CNO,CNO,5,,CNO__r5__sNA,CNO_rep5,36,5.0,180.0,2202.5,,,False
Group III (Effector only),None_CNO,CNO,6,,CNO__r6__sNA,CNO_rep6,70,5.0,350.0,2147.5,,,False
Group III (Effector only),None_CNO,CNO,7,,CNO__r7__sNA,CNO_rep7,30,5.0,150.0,937.5,,,False
Group III (Effector only),None_CNO,CNO,8,,CNO__r8__sNA,CNO_rep8,49,5.0,245.0,2207.5,,,False
Group III (Effector only),None_CNO,CNO,9,,CNO__r9__sNA,CNO_rep9,33,5.0,165.0,482.5,,,False
Group III (Effector only),None_CNO,CNO,10,,CNO__r10__sNA,CNO_rep10,49,5.0,245.0,1297.5,,,False
Group III (Effector only),None_CNO,CNO,11,,CNO__r11__sNA,CNO_rep11,54,5.0,270.0,1945.0,,,False
Group III (Effector only),None_Vehicle,MEDIA,1,,MEDIA__r1__sNA,MEDIA_rep1,58,5.0,290.0,3557.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,2,,MEDIA__r2__sNA,MEDIA_rep2,43,5.0,215.0,1710.0,,,False
Group III (Effector only),None_Vehicle,MEDIA,3,,MEDIA__r3__sNA,MEDIA_rep3,55,5.0,275.0,2797.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,4,,MEDIA__r4__sNA,MEDIA_rep4,109,5.0,545.0,3847.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,5,,MEDIA__r5__sNA,MEDIA_rep5,52,5.0,260.0,1177.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,6,,MEDIA__r6__sNA,MEDIA_rep6,53,5.0,265.0,927.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,7,,MEDIA__r7__sNA,MEDIA_rep7,52,5.0,260.0,2237.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,8,,MEDIA__r8__sNA,MEDIA_rep8,52,5.0,260.0,2227.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,9,,MEDIA__r9__sNA,MEDIA_rep9,107,5.0,535.0,3217.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,10,,MEDIA__r10__sNA,MEDIA_rep10,56,5.0,280.0,2087.5,,,False
Group III (Effector only),None_Vehicle,MEDIA,11,,MEDIA__r11__sNA,MEDIA_rep11,68,5.0,340.0,2522.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,1,,hCTZ__r1__sNA,hCTZ_rep1,63,0.0,310.0,2162.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,2,,hCTZ__r2__sNA,hCTZ_rep2,86,0.0,425.0,3815.0,,,False
Group III (Effector only),None_hCTZ,hCTZ,3,,hCTZ__r3__sNA,hCTZ_rep3,50,0.0,245.0,1942.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,4,,hCTZ__r4__sNA,hCTZ_rep4,82,0.0,405.0,1992.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,5,,hCTZ__r5__sNA,hCTZ_rep5,85,0.0,420.0,2035.0,,,False
Group III (Effector only),None_hCTZ,hCTZ,6,,hCTZ__r6__sNA,hCTZ_rep6,56,0.0,275.0,2387.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,7,,hCTZ__r7__sNA,hCTZ_rep7,37,0.0,180.0,1462.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,8,,hCTZ__r8__sNA,hCTZ_rep8,73,0.0,360.0,2550.0,,,False
Group III (Effector only),None_hCTZ,hCTZ,9,,hCTZ__r9__sNA,hCTZ_rep9,57,0.0,280.0,1607.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,10,,hCTZ__r10__sNA,hCTZ_rep10,73,0.0,360.0,2345.0,,,False
Group III (Effector only),None_hCTZ,hCTZ,11,,hCTZ__r11__sNA,hCTZ_rep11,43,0.0,210.0,2457.5,,,False
Group III (Effector only),None_hCTZ,hCTZ,12,,hCTZ__r12__sNA,hCTZ_rep12,48,0.0,235.0,3285.0,,,False
Group III (Effector only),None_uPSEM,uPSEM,1,,uPSEM__r1__sNA,uPSEM_rep1,66,5.0,330.0,2667.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,2,,uPSEM__r2__sNA,uPSEM_rep2,36,5.0,180.0,1057.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,3,,uPSEM__r3__sNA,uPSEM_rep3,33,5.0,165.0,1230.0,,,False
Group III (Effector only),None_uPSEM,uPSEM,4,,uPSEM__r4__sNA,uPSEM_rep4,44,5.0,220.0,1077.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,5,,uPSEM__r5__sNA,uPSEM_rep5,33,5.0,165.0,1117.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,6,,uPSEM__r6__sNA,uPSEM_rep6,47,5.0,235.0,702.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,7,,uPSEM__r7__sNA,uPSEM_rep7,37,5.0,185.0,1322.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,8,,uPSEM__r8__sNA,uPSEM_rep8,33,5.0,165.0,2027.5,,,False
Group III (Effector only),None_uPSEM,uPSEM,9,,uPSEM__r9__sNA,uPSEM_rep9,50,5.0,250.0,1652.5,,,False
Group II (Expression only),PSAM_Vehicle,PSAM,1,,PSAM__r1__sNA,PSAM_rep1,57,20.0,300.0,1432.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,2,,PSAM__r2__sNA,PSAM_rep2,77,15.0,395.0,2065.0,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,3,,PSAM__r3__sNA,PSAM_rep3,69,20.0,360.0,1367.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,4,,PSAM__r4__sNA,PSAM_rep4,73,15.0,375.0,1407.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,5,,PSAM__r5__sNA,PSAM_rep5,58,15.0,300.0,1382.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,6,,PSAM__r6__sNA,PSAM_rep6,51,20.0,270.0,730.0,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,7,,PSAM__r7__sNA,PSAM_rep7,31,10.0,160.0,692.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,8,,PSAM__r8__sNA,PSAM_rep8,46,10.0,235.0,1520.0,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,9,,PSAM__r9__sNA,PSAM_rep9,56,10.0,285.0,1112.5,PSAM,Vehicle,True
Group II (Expression only),PSAM_Vehicle,PSAM,10,,PSAM__r10__sNA,PSAM_rep10,73,15.0,375.0,1375.0,PSAM,Vehicle,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,1,,PSAM/uPSEM__r1__sNA,PSAM_rep1,51,10.0,260.0,1165.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,2,,PSAM/uPSEM__r2__sNA,PSAM_rep2,60,10.0,305.0,1915.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,3,,PSAM/uPSEM__r3__sNA,PSAM_rep3,47,15.0,245.0,947.5,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,4,,PSAM/uPSEM__r4__sNA,PSAM_rep4,47,10.0,240.0,972.5,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,5,,PSAM/uPSEM__r5__sNA,PSAM_rep5,35,15.0,185.0,967.5,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,6,,PSAM/uPSEM__r6__sNA,PSAM_rep6,42,10.0,215.0,905.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,7,,PSAM/uPSEM__r7__sNA,PSAM_rep7,48,10.0,245.0,842.5,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,8,,PSAM/uPSEM__r8__sNA,PSAM_rep8,48,20.0,255.0,1007.5,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,9,,PSAM/uPSEM__r9__sNA,PSAM_rep9,54,10.0,275.0,2035.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,10,,PSAM/uPSEM__r10__sNA,PSAM_rep10,57,10.0,290.0,1020.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,11,,PSAM/uPSEM__r11__sNA,PSAM_rep11,53,10.0,270.0,895.0,PSAM,Stimulated,True
Group I (Activation),PSAM_uPSEM,PSAM/uPSEM,12,,PSAM/uPSEM__r12__sNA,PSAM_rep12,74,15.0,380.0,1505.0,PSAM,Stimulated,True
